variant,variant_slug,depth,seed,init_scheme,uses_bn,bn_calibrated,main_shattered_plainnet_setting,output_mean,output_std,loss,input_gradient_norm_mean,input_gradient_norm_std,input_gradient_norm_min,input_gradient_norm_max,gradient_mean,gradient_std,relative_effective_rank,spatial_acf_lag1,spatial_acf_lag3,spatial_acf_lag5,vector_acf_lag1,vector_acf_lag5,vector_acf_lag10,correlation_matrix_structure_score,valid_correlation_fraction,centered_valid_correlation_fraction,diagnostic_threshold,diagnostic_label,interpretation_bucket
PlainNet-DefaultInit,plainnet_default_init,56,0,default,True,False,False,-0.014435702934861183,0.06946519017219543,2.3082348346710204,2.581636000600359e-23,8.00509401964196e-24,1.1583825171101528e-23,5.410929979143517e-23,2.940789580414854e-28,0.0,0.0,1.1746362354666561e-34,8.984277667502415e-35,6.615570625016638e-35,4.3926810452488757e-35,1.8844564807132354e-36,4.421622803694972e-37,0.0,0.0,0.0,1e-08,gradient_collapse,vanishing/collapse analysis
PlainNet-XavierInit,plainnet_xavier_init,56,0,xavier,False,False,False,-1.9688982703328778e-13,1.7976760705029626e-11,2.3025851249694824,4.222003239073505e-11,8.018193785526421e-12,2.278356534227107e-11,6.299932261128084e-11,-2.516280247012758e-16,7.753573716233475e-13,0.0,2.413809507467446e-10,1.6977127942479332e-10,1.187009744060774e-10,-8.414519806773552e-11,9.757809686430496e-13,-8.076964790593944e-13,0.0,0.0,0.0,1e-08,gradient_collapse,vanishing/collapse analysis
