epoch,run_id,model,seed,layer_index,layer_name,grad_norm_l2,grad_norm_l1,grad_abs_mean,grad_abs_max,log10_grad_norm
1,identity_mapping,PlainNet-56,0,0,stage1.0.conv2.weight,3.050206422805786,95.88480377197266,0.041616667062044144,0.38213682174682617,0.48432923123281296
1,identity_mapping,PlainNet-56,0,1,stage1.1.conv2.weight,2.9445998668670654,98.691650390625,0.042834918946027756,0.37664371728897095,0.46902628811543867
1,identity_mapping,PlainNet-56,0,2,stage1.2.conv2.weight,3.2296063899993896,118.67955780029297,0.05151022598147392,0.31145328283309937,0.5091495956848822
1,identity_mapping,PlainNet-56,0,3,stage1.3.conv2.weight,2.591189384460449,95.57242584228516,0.04148108884692192,0.2686723470687866,0.4134991557958614
1,identity_mapping,PlainNet-56,0,4,stage1.4.conv2.weight,2.2149643898010254,80.39899444580078,0.0348953977227211,0.2250208556652069,0.3453667484205792
1,identity_mapping,PlainNet-56,0,5,stage1.5.conv2.weight,2.4817535877227783,90.35295104980469,0.03921569138765335,0.21728181838989258,0.39475865838574803
1,identity_mapping,PlainNet-56,0,6,stage1.6.conv2.weight,3.2608413696289062,104.32405090332031,0.04527953639626503,0.3400028944015503,0.5133296721668675
1,identity_mapping,PlainNet-56,0,7,stage1.7.conv2.weight,4.235750198364258,136.52822875976562,0.05925704538822174,0.4070228636264801,0.626930339851293
1,identity_mapping,PlainNet-56,0,8,stage1.8.conv2.weight,4.061460971832275,139.96859741210938,0.06075026094913483,0.4357556104660034,0.608682284284906
1,identity_mapping,PlainNet-56,0,9,stage2.0.conv2.weight,5.338840007781982,350.2615966796875,0.03800581395626068,0.39562344551086426,0.7274469062899901
1,identity_mapping,PlainNet-56,0,10,stage2.1.conv2.weight,4.586296081542969,318.5443420410156,0.034564271569252014,0.22659628093242645,0.6614620884292475
1,identity_mapping,PlainNet-56,0,11,stage2.2.conv2.weight,5.291191577911377,354.5760803222656,0.03847396746277809,0.3247716724872589,0.7235534862956082
1,identity_mapping,PlainNet-56,0,12,stage2.3.conv2.weight,5.0668559074401855,335.8249206542969,0.03643933683633804,0.2846599519252777,0.7047385538874776
1,identity_mapping,PlainNet-56,0,13,stage2.4.conv2.weight,6.3985724449157715,392.46502685546875,0.04258517920970917,0.45323246717453003,0.806083091413507
1,identity_mapping,PlainNet-56,0,14,stage2.5.conv2.weight,4.4990057945251465,288.73602294921875,0.031329862773418427,0.3179737627506256,0.6531165525185586
1,identity_mapping,PlainNet-56,0,15,stage2.6.conv2.weight,3.9694299697875977,257.45172119140625,0.027935300022363663,0.21462059020996094,0.5987281443575777
1,identity_mapping,PlainNet-56,0,16,stage2.7.conv2.weight,3.4018986225128174,217.94261169433594,0.02364828623831272,0.18000410497188568,0.5317213673780052
1,identity_mapping,PlainNet-56,0,17,stage2.8.conv2.weight,2.8747456073760986,183.90283203125,0.019954733550548553,0.1966988891363144,0.4585994190428364
1,identity_mapping,PlainNet-56,0,18,stage3.0.conv2.weight,3.001523971557617,397.10662841796875,0.01077220682054758,0.10266122967004776,0.4773418161823333
1,identity_mapping,PlainNet-56,0,19,stage3.1.conv2.weight,2.127655029296875,295.1314697265625,0.008005953393876553,0.06659655272960663,0.3279012143103911
1,identity_mapping,PlainNet-56,0,20,stage3.2.conv2.weight,1.8969738483428955,261.580322265625,0.007095820270478725,0.05564653500914574,0.2780613437520122
1,identity_mapping,PlainNet-56,0,21,stage3.3.conv2.weight,1.4181835651397705,194.44790649414062,0.005274737253785133,0.040084924548864365,0.15173244817289197
1,identity_mapping,PlainNet-56,0,22,stage3.4.conv2.weight,1.1177093982696533,153.29026794433594,0.0041582644917070866,0.03329944983124733,0.04832890271606962
1,identity_mapping,PlainNet-56,0,23,stage3.5.conv2.weight,0.8170952796936035,113.9969253540039,0.0030923644080758095,0.031393952667713165,-0.08772729838444303
1,identity_mapping,PlainNet-56,0,24,stage3.6.conv2.weight,0.6964302659034729,93.76170349121094,0.0025434489361941814,0.024389008060097694,-0.15712236330186136
1,identity_mapping,PlainNet-56,0,25,stage3.7.conv2.weight,0.7225939035415649,91.45111846923828,0.0024807704612612724,0.025637386366724968,-0.1411057068546174
1,identity_mapping,PlainNet-56,0,26,stage3.8.conv2.weight,1.3640011548995972,166.62777709960938,0.004520067945122719,0.03248372673988342,0.1348147380380145
1,identity_mapping,ResNet-56,0,0,stage1.0.conv2.weight,8.69176959991455,334.2003479003906,0.1450522392988205,0.6425915956497192,0.9391082055900997
1,identity_mapping,ResNet-56,0,1,stage1.1.conv2.weight,5.885671615600586,223.8867645263672,0.09717307239770889,0.42701002955436707,0.7697960274695662
1,identity_mapping,ResNet-56,0,2,stage1.2.conv2.weight,4.790896892547607,180.93829345703125,0.07853224873542786,0.3539640009403229,0.6804168242751698
1,identity_mapping,ResNet-56,0,3,stage1.3.conv2.weight,4.065465450286865,154.74136352539062,0.06716205179691315,0.29002296924591064,0.6091102746335685
1,identity_mapping,ResNet-56,0,4,stage1.4.conv2.weight,3.320744514465332,125.84806060791016,0.05462155491113663,0.28292450308799744,0.5212354639074384
1,identity_mapping,ResNet-56,0,5,stage1.5.conv2.weight,2.840869188308716,107.86470794677734,0.046816278249025345,0.24076437950134277,0.4534512365025191
1,identity_mapping,ResNet-56,0,6,stage1.6.conv2.weight,2.5526156425476074,97.0796127319336,0.04213524982333183,0.19601157307624817,0.4069854262861087
1,identity_mapping,ResNet-56,0,7,stage1.7.conv2.weight,2.2445380687713623,85.56373596191406,0.03713703900575638,0.17312932014465332,0.3511269757067354
1,identity_mapping,ResNet-56,0,8,stage1.8.conv2.weight,1.8918157815933228,71.31402587890625,0.030952267348766327,0.159605473279953,0.27687884404662516
1,identity_mapping,ResNet-56,0,9,stage2.0.conv2.weight,3.920224189758301,298.2217102050781,0.03235912695527077,0.1898171454668045,0.5933109041610883
1,identity_mapping,ResNet-56,0,10,stage2.1.conv2.weight,3.049659490585327,231.4617919921875,0.02511521242558956,0.1312522441148758,0.4842513509484495
1,identity_mapping,ResNet-56,0,11,stage2.2.conv2.weight,2.3337318897247314,177.4604949951172,0.01925569586455822,0.09163601696491241,0.3680509607492297
1,identity_mapping,ResNet-56,0,12,stage2.3.conv2.weight,1.8851300477981567,143.17514038085938,0.015535497106611729,0.08006696403026581,0.2753413158645585
1,identity_mapping,ResNet-56,0,13,stage2.4.conv2.weight,1.5854040384292603,120.83451080322266,0.013111383654177189,0.06898675113916397,0.20013996011809956
1,identity_mapping,ResNet-56,0,14,stage2.5.conv2.weight,1.3773144483566284,104.93894958496094,0.011386604979634285,0.059227462857961655,0.13903310336245533
1,identity_mapping,ResNet-56,0,15,stage2.6.conv2.weight,1.2011058330535889,91.53706359863281,0.009932407177984715,0.0574716255068779,0.07958127608450051
1,identity_mapping,ResNet-56,0,16,stage2.7.conv2.weight,1.0714852809906006,81.51941680908203,0.00884542241692543,0.045683883130550385,0.029986209509408047
1,identity_mapping,ResNet-56,0,17,stage2.8.conv2.weight,0.9463195204734802,71.89645385742188,0.007801264524459839,0.039474837481975555,-0.02396220128379446
1,identity_mapping,ResNet-56,0,18,stage3.0.conv2.weight,1.8411650657653809,279.0875244140625,0.007570733781903982,0.04631680250167847,0.2650927260042397
1,identity_mapping,ResNet-56,0,19,stage3.1.conv2.weight,1.4351637363433838,217.40484619140625,0.005897483788430691,0.03491140902042389,0.15690145210435083
1,identity_mapping,ResNet-56,0,20,stage3.2.conv2.weight,1.1108293533325195,168.75393676757812,0.0045777433551847935,0.028600698336958885,0.04564734733167752
1,identity_mapping,ResNet-56,0,21,stage3.3.conv2.weight,0.9177356958389282,138.8790740966797,0.003767336020246148,0.024448657408356667,-0.03728237584190003
1,identity_mapping,ResNet-56,0,22,stage3.4.conv2.weight,0.7786341309547424,117.003173828125,0.003173914272338152,0.018769292160868645,-0.1086665631649155
1,identity_mapping,ResNet-56,0,23,stage3.5.conv2.weight,0.6698126196861267,100.51458740234375,0.002726632636040449,0.019339758902788162,-0.174046674340415
1,identity_mapping,ResNet-56,0,24,stage3.6.conv2.weight,0.6014747619628906,89.79145812988281,0.002435749163851142,0.015206518582999706,-0.22078259105027262
1,identity_mapping,ResNet-56,0,25,stage3.7.conv2.weight,0.5171399116516113,76.61106872558594,0.002078208141028881,0.016970397904515266,-0.2863919430989428
1,identity_mapping,ResNet-56,0,26,stage3.8.conv2.weight,0.48112940788269043,70.9417724609375,0.0019244187278673053,0.012344573624432087,-0.3177380970752284
1,identity_mapping,PreActResNet-56,0,0,stage1.0.conv2.weight,0.49821731448173523,18.897829055786133,0.008202183060348034,0.03895356133580208,-0.30258118355655
1,identity_mapping,PreActResNet-56,0,1,stage1.1.conv2.weight,0.3195514380931854,12.029767036437988,0.005221253260970116,0.035024698823690414,-0.49545922363267214
1,identity_mapping,PreActResNet-56,0,2,stage1.2.conv2.weight,0.260578453540802,9.945096015930176,0.004316447768360376,0.01923002302646637,-0.5840614976593572
1,identity_mapping,PreActResNet-56,0,3,stage1.3.conv2.weight,0.21739140152931213,8.139715194702148,0.0035328625235706568,0.021702010184526443,-0.6627576375348573
1,identity_mapping,PreActResNet-56,0,4,stage1.4.conv2.weight,0.19962608814239502,7.470422744750977,0.003242370905354619,0.01509917713701725,-0.6997827035478427
1,identity_mapping,PreActResNet-56,0,5,stage1.5.conv2.weight,0.18228933215141296,6.888381004333496,0.002989748725667596,0.017804235219955444,-0.7392387461716989
1,identity_mapping,PreActResNet-56,0,6,stage1.6.conv2.weight,0.17102548480033875,6.327399253845215,0.0027462670113891363,0.01399601437151432,-0.7669391698187887
1,identity_mapping,PreActResNet-56,0,7,stage1.7.conv2.weight,0.16915494203567505,6.32624626159668,0.002745766658335924,0.01350291259586811,-0.7717153093279435
1,identity_mapping,PreActResNet-56,0,8,stage1.8.conv2.weight,0.1923941969871521,7.198326110839844,0.003124273382127285,0.013996954075992107,-0.7158080313316314
1,identity_mapping,PreActResNet-56,0,9,stage2.0.conv2.weight,0.475643515586853,35.463218688964844,0.0038480055518448353,0.027563076466321945,-0.3227184195807639
1,identity_mapping,PreActResNet-56,0,10,stage2.1.conv2.weight,0.25826296210289,19.31031608581543,0.002095303498208523,0.011689727194607258,-0.5879378722132862
1,identity_mapping,PreActResNet-56,0,11,stage2.2.conv2.weight,0.1892305463552475,14.172130584716797,0.0015377745730802417,0.00931200385093689,-0.7230087567124069
1,identity_mapping,PreActResNet-56,0,12,stage2.3.conv2.weight,0.16018253564834595,12.059794425964355,0.0013085714308544993,0.0075800796039402485,-0.7953848358458765
1,identity_mapping,PreActResNet-56,0,13,stage2.4.conv2.weight,0.14945703744888306,11.243247985839844,0.001219970523379743,0.006731467321515083,-0.8254836306167146
1,identity_mapping,PreActResNet-56,0,14,stage2.5.conv2.weight,0.1401749849319458,10.434720993041992,0.0011322397040203214,0.006890587043017149,-0.8533294819106796
1,identity_mapping,PreActResNet-56,0,15,stage2.6.conv2.weight,0.14289768040180206,10.71901798248291,0.0011630879016593099,0.0060844263061881065,-0.8449748208692083
1,identity_mapping,PreActResNet-56,0,16,stage2.7.conv2.weight,0.1472870260477066,11.082775115966797,0.0012025580508634448,0.007743672002106905,-0.8318355068139162
1,identity_mapping,PreActResNet-56,0,17,stage2.8.conv2.weight,0.14523020386695862,10.846567153930664,0.0011769278207793832,0.008612733334302902,-0.8379430529949714
1,identity_mapping,PreActResNet-56,0,18,stage3.0.conv2.weight,0.3732576072216034,54.73252868652344,0.0014847149141132832,0.012232719920575619,-0.4279913323205993
1,identity_mapping,PreActResNet-56,0,19,stage3.1.conv2.weight,0.20935465395450592,30.722747802734375,0.0008334078593179584,0.00624129269272089,-0.6791173802958959
1,identity_mapping,PreActResNet-56,0,20,stage3.2.conv2.weight,0.1425962895154953,21.194181442260742,0.0005749289412051439,0.004645263776183128,-0.8458917750695438
1,identity_mapping,PreActResNet-56,0,21,stage3.3.conv2.weight,0.12423576414585114,18.346281051635742,0.0004976747441105545,0.0038699270226061344,-0.9057533644189805
1,identity_mapping,PreActResNet-56,0,22,stage3.4.conv2.weight,0.1171693205833435,17.218059539794922,0.0004670697671826929,0.0036003701388835907,-0.9311860883616925
1,identity_mapping,PreActResNet-56,0,23,stage3.5.conv2.weight,0.11697342991828918,17.081340789794922,0.00046336103696376085,0.0038656212855130434,-0.931912775432342
1,identity_mapping,PreActResNet-56,0,24,stage3.6.conv2.weight,0.12436124682426453,18.03302001953125,0.0004891769494861364,0.00368468277156353,-0.9053149324424689
1,identity_mapping,PreActResNet-56,0,25,stage3.7.conv2.weight,0.12562036514282227,18.07953643798828,0.0004904388333670795,0.00422664312645793,-0.9009399485555993
1,identity_mapping,PreActResNet-56,0,26,stage3.8.conv2.weight,0.16336283087730408,22.81796646118164,0.0006189769483171403,0.005508547183126211,-0.7868467493990967
1,identity_mapping,ScaledShortcutResNet-56-lambda0.5,0,0,stage1.0.conv2.weight,8.541118621826172,313.0187072753906,0.13585881888866425,0.9582294225692749,0.9315147535312038
1,identity_mapping,ScaledShortcutResNet-56-lambda0.5,0,1,stage1.1.conv2.weight,7.1162109375,262.4052429199219,0.11389116197824478,0.6723141670227051,0.8522488128850421
1,identity_mapping,ScaledShortcutResNet-56-lambda0.5,0,2,stage1.2.conv2.weight,7.698603630065918,283.3770751953125,0.12299352139234543,0.874224066734314,0.8864119601399031
