run,model,model_name,depth,shortcut_lambda,epoch,train_loss,train_accuracy,val_loss,val_accuracy,shallow_to_deep_ratio,log_grad_norm_variance,dataset,device
identity_mapping_full_training,ResNet-56,ResNetV1,56,1.0,1,1.5721799222946167,0.41532,1.475402687072754,0.4949,0.7124809124973259,0.019519190702323462,CIFAR10,cuda
identity_mapping_full_training,ResNet-56,ResNetV1,56,1.0,2,1.0314669292068481,0.62812,1.0555051906585693,0.6323,0.8947834331656844,0.01879330391713167,CIFAR10,cuda
identity_mapping_full_training,ResNet-56,ResNetV1,56,1.0,3,0.7833778550910949,0.72638,0.79101311211586,0.7229,0.6430227777969907,0.027378690693043856,CIFAR10,cuda
identity_mapping_full_training,ResNet-56,ResNetV1,56,1.0,4,0.6546574433517456,0.77158,0.7100121486186981,0.753,0.48985614201132044,0.03660677612505842,CIFAR10,cuda
identity_mapping_full_training,ResNet-56,ResNetV1,56,1.0,5,0.5651486420440673,0.8022,0.6111154364585877,0.7888,0.7278275832323051,0.023225078221962174,CIFAR10,cuda
identity_mapping_full_training,ResNet-56,ResNetV1,56,1.0,6,0.5051252751636505,0.8256,0.6205372153282166,0.7894,0.7054954633207592,0.025088839645542628,CIFAR10,cuda
identity_mapping_full_training,ResNet-56,ResNetV1,56,1.0,7,0.44971499051094055,0.84426,0.6419698583364487,0.7773,0.6009266592079744,0.03466852392692645,CIFAR10,cuda
identity_mapping_full_training,ResNet-56,ResNetV1,56,1.0,8,0.4162436060810089,0.85608,0.5582315509796143,0.8105,0.4313333918976143,0.03877451604823876,CIFAR10,cuda
identity_mapping_full_training,ResNet-56,ResNetV1,56,1.0,9,0.3836403067207336,0.86476,0.5765393983840943,0.8059,0.9126143492151109,0.027289478305300374,CIFAR10,cuda
identity_mapping_full_training,ResNet-56,ResNetV1,56,1.0,10,0.3540527100753784,0.8775,0.6234942932844162,0.7975,0.47246842949968404,0.040219948118446126,CIFAR10,cuda
