run,model,model_name,depth,shortcut_lambda,params,epochs,final_train_loss,final_train_acc,final_val_loss,final_val_acc,best_val_acc,mean_grad_norm,std_grad_norm,min_grad_norm,max_grad_norm,shallow_grad_norm,deep_grad_norm,shallow_to_deep_ratio,log_grad_norm_variance,runtime_sec,dataset,seed
identity_mapping_full_training,ScaledShortcutResNet-56-lambda0.5,ScaledShortcutResNet,56,0.5,855770,30,0.4907419247055054,0.83146,0.8378391064882278,0.7332,0.7621,1.015329843318021,0.48666460168908154,0.3482758700847626,2.078244686126709,0.6483554780483246,0.8579086065292358,0.7557395660949978,0.04105373663797328,5613.7396429,CIFAR10,0
identity_mapping_full_training,ScaledShortcutResNet-56-lambda0.9,ScaledShortcutResNet,56,0.9,855770,30,0.20794817792415618,0.92814,0.6064472537457943,0.8173,0.8219,0.6606862092459643,0.34527896906446187,0.2404557466506958,1.5702881813049316,0.4001457691192627,0.8883232593536377,0.4504506269597923,0.04837561769173638,2639.669128500005,CIFAR10,0
identity_mapping_full_training,ScaledShortcutResNet-56-lambda1.0,ScaledShortcutResNet,56,1.0,855770,30,0.1932854268503189,0.93298,0.5921194679379463,0.822,0.8283,0.5518047942055596,0.28056974762341264,0.27539846301078796,1.4701601266860962,0.3337044954299927,0.6732425570487977,0.49566755983506494,0.03904058220904233,3299.0540776999987,CIFAR10,0
identity_mapping_full_training,ScaledShortcutResNet-56-lambda1.1,ScaledShortcutResNet,56,1.1,855770,30,0.1740570700979233,0.9396,0.6351733090549707,0.812,0.8231,0.7655060329922924,0.4559157517228906,0.2146890014410019,2.188384532928467,0.33381416499614713,0.9158961653709412,0.3644672590812592,0.0589416249376589,4219.3740837000005,CIFAR10,0
