model,epoch,seed,relative_effective_rank_mean,relative_effective_rank_std
PlainNet,0,0,0.0,0.0
PlainNet,30,0,0.11834996909624429,0.04058485977774803
Standard ResNet,0,0,0.19135950698446835,0.006939300507102109
Standard ResNet,30,0,0.1294344996674592,0.03446094623148412
PreAct ResNet,0,0,0.19136217136176983,0.006941485403394452
PreAct ResNet,30,0,0.12125465625596088,0.039254030503268034
ScaledShortcut lambda=1.0,0,0,0.19135950668127005,0.006939297993782755
ScaledShortcut lambda=1.0,30,0,0.10760882573981587,0.021664403116637216
