model,depth,epoch,seed,batch_size,num_minibatches,gradient_type,train_loss,val_loss,val_accuracy,relative_effective_rank_mean,relative_effective_rank_std,mean_gradient_norm_mean,mean_gradient_norm_std,spatial_acf_lag1,spatial_acf_lag3,spatial_acf_lag5,correlation_matrix_structure_score
PlainNet,56,0,0,64,5,per_sample_input_gradient,,2.3082348346710204,0.09375,0.0,0.0,3.443411014014259e-24,1.3514384403808389e-25,1.1746362694950438e-34,8.984277779279654e-35,6.615570465014833e-35,2.5375713886371948e-24
PlainNet,56,30,0,64,5,per_sample_input_gradient,0.6905496684265137,0.8400010527610778,0.7137,0.11834996909624429,0.04058485977774803,0.5410174873315315,0.06335134948948325,0.5265578348110566,0.3090743396060849,0.18157572983574571,0.0011557368258390678
PreAct ResNet,56,0,0,64,5,per_sample_input_gradient,,2.311970090866089,0.078125,0.19136217136176983,0.006941485403394452,0.0008462382207416244,5.74601112499224e-05,0.26810205003044363,0.1387280027676637,0.10980745695584,0.19041919700883175
PreAct ResNet,56,30,0,64,5,per_sample_input_gradient,0.19795264444828034,0.708533166718483,0.7988,0.12125465625596088,0.039254030503268034,1.0325182459967324,0.07653668385572696,0.43724348186682016,0.2197151981044861,0.1279804308545291,0.0014984151476122101
ScaledShortcut lambda=1.0,56,0,0,64,5,per_sample_input_gradient,,2.311970853805542,0.078125,0.19135950668127005,0.006939297993782755,0.000846355699561336,5.746088952450103e-05,0.2681066547174521,0.13873218822118769,0.10980793424098456,0.19042288881700328
ScaledShortcut lambda=1.0,56,30,0,64,5,per_sample_input_gradient,0.1932854268503189,0.5921194679379463,0.822,0.10760882573981587,0.021664403116637216,1.1333798384082368,0.07065392166773547,0.4440609571478781,0.2099109428882473,0.11718508318820205,0.0022289813467716683
Standard ResNet,56,0,0,64,5,per_sample_input_gradient,,2.311970853805542,0.078125,0.19135950698446835,0.006939300507102109,0.000846355691173505,5.746088798646087e-05,0.2681066552031945,0.1387321894712034,0.10980792862988478,0.19042288815106495
Standard ResNet,56,30,0,64,5,per_sample_input_gradient,0.19291689650535584,0.6394574330806733,0.8077,0.1294344996674592,0.03446094623148412,0.9769629734396617,0.11001975945212822,0.431045198699076,0.2133826690409574,0.12337533433636957,0.004364065612601181
