model,epoch,seed,mean_gradient_norm_mean,mean_gradient_norm_std
PlainNet,0,0,3.443411014014259e-24,1.3514384403808389e-25
PlainNet,30,0,0.5410174873315315,0.06335134948948325
Standard ResNet,0,0,0.000846355691173505,5.746088798646087e-05
Standard ResNet,30,0,0.9769629734396617,0.11001975945212822
PreAct ResNet,0,0,0.0008462382207416244,5.74601112499224e-05
PreAct ResNet,30,0,1.0325182459967324,0.07653668385572696
ScaledShortcut lambda=1.0,0,0,0.000846355699561336,5.746088952450103e-05
ScaledShortcut lambda=1.0,30,0,1.1333798384082368,0.07065392166773547
