variant,variant_slug,depth,seed,init_scheme,uses_bn,bn_calibrated,main_shattered_plainnet_setting,output_mean,output_std,loss,input_gradient_norm_mean,input_gradient_norm_std,input_gradient_norm_min,input_gradient_norm_max,gradient_mean,gradient_std,relative_effective_rank,spatial_acf_lag1,spatial_acf_lag3,spatial_acf_lag5,vector_acf_lag1,vector_acf_lag5,vector_acf_lag10,correlation_matrix_structure_score,valid_correlation_fraction,centered_valid_correlation_fraction,diagnostic_threshold,diagnostic_label,interpretation_bucket
PlainNet-HeInit,plainnet_he_init,56,0,he,False,False,False,-5.875232454854995e-05,0.005364327225834131,2.302825689315796,0.012599328091092354,0.0023838225315385474,0.006800669880761662,0.018731952198508556,-6.846180156117043e-08,0.00023135248920880258,0.5847839677291194,0.4344874976667514,0.3029874465333656,0.21028067222673305,-0.038200955643726796,0.0019295493813466195,0.0006801332690516494,-0.0005897866457781515,1.0,1.0,1e-08,shattered_gradient_candidate,shattered-gradient analysis
PlainNet-HeInit-BN,plainnet_he_init_bn,56,0,he,True,True,True,0.06474056839942932,0.2073393315076828,2.316724157333374,2.126409426785173,0.5134053779602734,1.1276755128303817,4.32856150679818,8.137986878864467e-05,0.03946740925312042,0.38852368524329367,0.44533859404616705,0.3252573078973338,0.2319714488469315,0.0035874697763804836,-0.004877649358384649,-0.0021257707501620344,0.00011920358152123781,1.0,1.0,1e-08,shattered_gradient_candidate,shattered-gradient analysis
PlainNet-OrthogonalInit,plainnet_orthogonal_init,56,0,orthogonal,False,False,False,0.0028853011317551136,0.016466815024614334,2.3026638984680177,0.032852440950021565,0.006210099717559514,0.017556104089554825,0.05183937972987139,6.008347668284841e-07,0.0006032268283888698,0.5933028651685879,0.44152577473026894,0.3183073267604426,0.22687649298751628,0.04826035091199163,0.00687498863143471,-0.001580704056589646,6.982284464131519e-05,1.0,1.0,1e-08,shattered_gradient_candidate,shattered-gradient analysis
