drop_strategy,drop_ratio,mean_test_accuracy,std_test_accuracy,mean_accuracy_drop,mean_test_loss,mean_active_blocks,runs
early_drop,0.0,0.18359375,0.0,0.0,2.0780673027038574,27.0,1
early_drop,0.1,0.17578125,0.0,0.0078125,2.471473813056946,24.0,1
early_drop,0.3,0.150390625,0.0,0.033203125,2.4271709322929382,19.0,1
early_drop,0.5,0.09375,0.0,0.08984375,2.762484133243561,13.0,1
early_drop,0.7,0.09765625,0.0,0.0859375,2.8333295583724976,8.0,1
late_drop,0.0,0.18359375,0.0,0.0,2.0780673027038574,27.0,1
late_drop,0.1,0.119140625,0.0,0.064453125,2.299576163291931,24.0,1
late_drop,0.3,0.087890625,0.0,0.095703125,2.4713622331619263,19.0,1
late_drop,0.5,0.08984375,0.0,0.09375,2.586427092552185,13.0,1
late_drop,0.7,0.087890625,0.0,0.095703125,2.600178062915802,8.0,1
random_drop,0.0,0.18359375,0.0,0.0,2.0780673027038574,27.0,3
random_drop,0.1,0.16145833333333334,0.029634913220679796,0.022135416666666668,2.225359082221985,24.0,3
random_drop,0.3,0.11848958333333333,0.01834505573386116,0.06510416666666667,2.535995443662008,19.0,3
random_drop,0.5,0.095703125,0.009700302360515195,0.087890625,2.6366182367006936,13.0,3
random_drop,0.7,0.09114583333333333,0.004603559773349918,0.09244791666666667,2.6283814907073975,8.0,3
