variant,variant_slug,diagnostic_label,acf_lag0,acf_lag1,acf_lag2,acf_lag3,acf_lag4,acf_lag5,acf_lag6,acf_lag7,acf_lag8,acf_lag9,acf_lag10,acf_lag11,acf_lag12,acf_lag13,acf_lag14,acf_lag15
PlainNet-DefaultInit,plainnet_default_init,gradient_collapse,1.0,1.1746362354666561e-34,1.038231023008944e-34,8.984277667502415e-35,7.703894237058574e-35,6.615570625016638e-35,5.575996164163419e-35,4.636645928802544e-35,3.792027693253109e-35,3.062099734885892e-35,2.3869365412166205e-35,1.7853947540185552e-35,1.280574313720386e-35,8.51055758123e-36,5.0947190271855725e-36,2.4566148483706082e-36
PlainNet-XavierInit,plainnet_xavier_init,gradient_collapse,1.0,2.413809507467446e-10,2.0445220735264453e-10,1.6977127942479332e-10,1.4229593599610827e-10,1.187009744060774e-10,9.766340608956912e-11,8.027401423088079e-11,6.502518189379416e-11,5.29807600111491e-11,4.01286504212511e-11,3.019969508360977e-11,2.2196625151435453e-11,1.5986323577421697e-11,9.935185465703023e-12,5.881564192349293e-12
PlainNet-HeInit,plainnet_he_init,shattered_gradient_candidate,1.0,0.4344874976667514,0.3659911735259227,0.3029874465333656,0.25301949182167494,0.21028067222673305,0.17347913610508847,0.14285331018734718,0.1160213139335308,0.09478508044082637,0.07206679375556864,0.0545173675312999,0.04088660322670663,0.030313278210703766,0.02022101982994881,0.012686967153697331
PlainNet-HeInit-BN,plainnet_he_init_bn,shattered_gradient_candidate,1.0,0.44533859404616705,0.38875848847668076,0.3252573078973338,0.27436394258363894,0.2319714488469315,0.1935226877202884,0.16006146569193608,0.13193240585015442,0.10693100653132308,0.08616412972493645,0.06635778264836341,0.050451450438560766,0.03649362165896762,0.024245950400427364,0.016737861803073812
PlainNet-OrthogonalInit,plainnet_orthogonal_init,shattered_gradient_candidate,1.0,0.44152577473026894,0.3774823673764856,0.3183073267604426,0.2673090858107928,0.22687649298751628,0.1900949328166162,0.15954069958982942,0.13334237204348998,0.1068568741372691,0.08582765979605496,0.06870978335138961,0.05208853502226403,0.03894300332283811,0.027322273625512667,0.017143037047809343
