variant,output_mean,output_std
PlainNet-DefaultInit,-0.014435702934861183,0.06946519017219543
PlainNet-XavierInit,-1.9688982703328778e-13,1.7976760705029626e-11
PlainNet-HeInit,-5.875232454854995e-05,0.005364327225834131
PlainNet-HeInit-BN,0.06474056839942932,0.2073393315076828
PlainNet-OrthogonalInit,0.0028853011317551136,0.016466815024614334
