model_type,beta,depth,run_seed,lag,acf_value,gradient_norm,gradient_std,collapse_flag
feedforward,,2,0,0,1.0,14.435847502284629,0.8540675346815334,False
feedforward,,2,0,1,0.9652027427168565,14.435847502284629,0.8540675346815334,False
feedforward,,2,0,2,0.9459628059606705,14.435847502284629,0.8540675346815334,False
feedforward,,2,0,3,0.9289977080027948,14.435847502284629,0.8540675346815334,False
feedforward,,2,0,4,0.899404937521165,14.435847502284629,0.8540675346815334,False
feedforward,,2,0,5,0.8751192724904422,14.435847502284629,0.8540675346815334,False
feedforward,,2,0,6,0.8424416201839607,14.435847502284629,0.8540675346815334,False
feedforward,,2,0,7,0.8098526281011784,14.435847502284629,0.8540675346815334,False
feedforward,,2,0,8,0.7788554896027984,14.435847502284629,0.8540675346815334,False
feedforward,,2,0,9,0.7418876843135945,14.435847502284629,0.8540675346815334,False
feedforward,,2,0,10,0.7005301348821429,14.435847502284629,0.8540675346815334,False
feedforward,,2,0,11,0.6652951901984338,14.435847502284629,0.8540675346815334,False
feedforward,,2,0,12,0.6293371633444624,14.435847502284629,0.8540675346815334,False
feedforward,,2,0,13,0.5908894445639679,14.435847502284629,0.8540675346815334,False
feedforward,,2,0,14,0.5614088664440281,14.435847502284629,0.8540675346815334,False
feedforward,,2,0,15,0.5249732385007195,14.435847502284629,0.8540675346815334,False
feedforward,,2,1,0,1.0,7.533371473118821,0.45888764552861294,False
feedforward,,2,1,1,0.9350668057738092,7.533371473118821,0.45888764552861294,False
feedforward,,2,1,2,0.8738556690649899,7.533371473118821,0.45888764552861294,False
feedforward,,2,1,3,0.8137387925101596,7.533371473118821,0.45888764552861294,False
feedforward,,2,1,4,0.7600383606722172,7.533371473118821,0.45888764552861294,False
feedforward,,2,1,5,0.7084287633324569,7.533371473118821,0.45888764552861294,False
feedforward,,2,1,6,0.67403071198923,7.533371473118821,0.45888764552861294,False
feedforward,,2,1,7,0.645517609932741,7.533371473118821,0.45888764552861294,False
feedforward,,2,1,8,0.6211089236790587,7.533371473118821,0.45888764552861294,False
feedforward,,2,1,9,0.5840495336236244,7.533371473118821,0.45888764552861294,False
feedforward,,2,1,10,0.5453016805712526,7.533371473118821,0.45888764552861294,False
feedforward,,2,1,11,0.4995865767567205,7.533371473118821,0.45888764552861294,False
feedforward,,2,1,12,0.4543002132951406,7.533371473118821,0.45888764552861294,False
feedforward,,2,1,13,0.4257207182511374,7.533371473118821,0.45888764552861294,False
feedforward,,2,1,14,0.3974997431382924,7.533371473118821,0.45888764552861294,False
feedforward,,2,1,15,0.3710201030688162,7.533371473118821,0.45888764552861294,False
feedforward,,2,2,0,1.0,9.825038192198736,0.5583533296531704,False
feedforward,,2,2,1,0.9482867860792858,9.825038192198736,0.5583533296531704,False
feedforward,,2,2,2,0.8849034527980884,9.825038192198736,0.5583533296531704,False
feedforward,,2,2,3,0.8319421651664369,9.825038192198736,0.5583533296531704,False
feedforward,,2,2,4,0.7854666153819885,9.825038192198736,0.5583533296531704,False
feedforward,,2,2,5,0.7403041604320452,9.825038192198736,0.5583533296531704,False
feedforward,,2,2,6,0.6980686025830984,9.825038192198736,0.5583533296531704,False
feedforward,,2,2,7,0.6536900792042861,9.825038192198736,0.5583533296531704,False
feedforward,,2,2,8,0.6146721415394514,9.825038192198736,0.5583533296531704,False
feedforward,,2,2,9,0.568713579054483,9.825038192198736,0.5583533296531704,False
feedforward,,2,2,10,0.5092086970503684,9.825038192198736,0.5583533296531704,False
feedforward,,2,2,11,0.45193039450790073,9.825038192198736,0.5583533296531704,False
feedforward,,2,2,12,0.4035150448609525,9.825038192198736,0.5583533296531704,False
feedforward,,2,2,13,0.3556422423794008,9.825038192198736,0.5583533296531704,False
feedforward,,2,2,14,0.3112367864409167,9.825038192198736,0.5583533296531704,False
feedforward,,2,2,15,0.27287384495052963,9.825038192198736,0.5583533296531704,False
feedforward,,2,3,0,1.0,13.731601556580944,0.8581588477003469,False
feedforward,,2,3,1,0.9692135357217293,13.731601556580944,0.8581588477003469,False
feedforward,,2,3,2,0.9368742145270846,13.731601556580944,0.8581588477003469,False
feedforward,,2,3,3,0.9069933417624735,13.731601556580944,0.8581588477003469,False
feedforward,,2,3,4,0.8798349865055284,13.731601556580944,0.8581588477003469,False
feedforward,,2,3,5,0.8460551004389673,13.731601556580944,0.8581588477003469,False
feedforward,,2,3,6,0.8197224770910371,13.731601556580944,0.8581588477003469,False
feedforward,,2,3,7,0.7925505025239111,13.731601556580944,0.8581588477003469,False
feedforward,,2,3,8,0.7659515050439812,13.731601556580944,0.8581588477003469,False
feedforward,,2,3,9,0.733943198320443,13.731601556580944,0.8581588477003469,False
feedforward,,2,3,10,0.7031295973752315,13.731601556580944,0.8581588477003469,False
feedforward,,2,3,11,0.6681682284731967,13.731601556580944,0.8581588477003469,False
feedforward,,2,3,12,0.636467160808527,13.731601556580944,0.8581588477003469,False
feedforward,,2,3,13,0.6080472841856203,13.731601556580944,0.8581588477003469,False
feedforward,,2,3,14,0.57740933521577,13.731601556580944,0.8581588477003469,False
