model_type,beta,depth,lag,acf_mean,acf_std,valid_runs,collapsed_runs
feedforward,,2,0,1.0,0.0,20,0
feedforward,,2,1,0.9659297433371151,0.016581204183208194,20,0
feedforward,,2,2,0.9312522055452186,0.034244775552319154,20,0
feedforward,,2,3,0.8968539990611639,0.05068401880049132,20,0
feedforward,,2,4,0.8634627596699846,0.06639864878284357,20,0
feedforward,,2,5,0.8296497478809769,0.0833580829239256,20,0
feedforward,,2,6,0.7983558360325287,0.09905603029876105,20,0
feedforward,,2,7,0.7668684182916372,0.116806256842987,20,0
feedforward,,2,8,0.7366590511592297,0.1340607232732733,20,0
feedforward,,2,9,0.704927781186053,0.15200746701544354,20,0
feedforward,,2,10,0.6744429792753023,0.16969942879429153,20,0
feedforward,,2,11,0.646048265563268,0.1872514273091525,20,0
feedforward,,2,12,0.6198994086772068,0.20240925359115364,20,0
feedforward,,2,13,0.5963175601483002,0.2155542194785009,20,0
feedforward,,2,14,0.5726587468143504,0.22827112954477213,20,0
feedforward,,2,15,0.5496456454180217,0.24052336458194645,20,0
feedforward,,4,0,1.0,0.0,20,0
feedforward,,4,1,0.9551726322371185,0.018891036098875786,20,0
feedforward,,4,2,0.9114137402773762,0.035080898793330935,20,0
feedforward,,4,3,0.8678776682779377,0.05160001087576467,20,0
feedforward,,4,4,0.824912661895729,0.06716790516035945,20,0
feedforward,,4,5,0.7825778110409849,0.08166856212723515,20,0
feedforward,,4,6,0.7414413004295894,0.09270599499608981,20,0
feedforward,,4,7,0.6995810153376272,0.10718573583033844,20,0
feedforward,,4,8,0.6612149795933562,0.1194666153919249,20,0
feedforward,,4,9,0.6265172551235151,0.1310387539948185,20,0
feedforward,,4,10,0.5928243902148503,0.14028945398959047,20,0
feedforward,,4,11,0.5623157143435535,0.14783775260034757,20,0
feedforward,,4,12,0.5333061316778304,0.15492808205136116,20,0
feedforward,,4,13,0.5046521910422155,0.16152973314398908,20,0
feedforward,,4,14,0.47578671951279833,0.16927349294894597,20,0
feedforward,,4,15,0.4478137561639932,0.17680840426132663,20,0
feedforward,,10,0,1.0,0.0,20,0
feedforward,,10,1,0.8201000940468157,0.05478347592438025,20,0
feedforward,,10,2,0.6687279498614747,0.0930651038503113,20,0
feedforward,,10,3,0.5467298262918945,0.11303247828927442,20,0
feedforward,,10,4,0.45180449557055546,0.1210064567472728,20,0
feedforward,,10,5,0.3707316967329167,0.12214447378277239,20,0
feedforward,,10,6,0.299311342435956,0.11889004243883554,20,0
feedforward,,10,7,0.2480122295835449,0.1250082055658461,20,0
feedforward,,10,8,0.20933965837637816,0.1338941265542336,20,0
feedforward,,10,9,0.17069519125858418,0.13492094049078393,20,0
feedforward,,10,10,0.14153111547254033,0.13816676228774477,20,0
feedforward,,10,11,0.11040935521521407,0.1461512031269968,20,0
feedforward,,10,12,0.08506104110461941,0.15453881092180372,20,0
feedforward,,10,13,0.05625434020869684,0.15959345395077873,20,0
feedforward,,10,14,0.04021633195887218,0.1653902485126744,20,0
feedforward,,10,15,0.030956703528944217,0.16990647508948872,20,0
feedforward,,24,0,1.0,0.0,20,0
feedforward,,24,1,0.3447552416719926,0.09335387201678272,20,0
feedforward,,24,2,0.10939013708403593,0.05930389741691196,20,0
feedforward,,24,3,-0.008286985210103836,0.050340611485609234,20,0
feedforward,,24,4,-0.037051768835146576,0.08772339985638528,20,0
feedforward,,24,5,-0.04956157499317333,0.09982225501382472,20,0
feedforward,,24,6,-0.06313602212672599,0.0872340231135341,20,0
feedforward,,24,7,-0.06963694025427203,0.08096363751697642,20,0
feedforward,,24,8,-0.057552318339353224,0.07899655891460833,20,0
feedforward,,24,9,-0.06938864053011692,0.07506100863907224,20,0
feedforward,,24,10,-0.03581782572238207,0.06353145603121606,20,0
feedforward,,24,11,-0.02185281247672995,0.08244252340036386,20,0
feedforward,,24,12,-0.025071948164873063,0.08795810326667333,20,0
feedforward,,24,13,-0.018746503778665238,0.08762510819025855,20,0
feedforward,,24,14,-0.03029799792191968,0.08567784611032797,20,0
feedforward,,24,15,-0.025370171528555176,0.0684001080419553,20,0
feedforward,,50,0,1.0,0.0,20,0
feedforward,,50,1,0.011635462200828282,0.05724353581874052,20,0
feedforward,,50,2,-0.07638183863001738,0.07347226502603643,20,0
feedforward,,50,3,-0.045714007772141504,0.06804213916690188,20,0
feedforward,,50,4,-0.048494809203131796,0.07907337698341023,20,0
feedforward,,50,5,-0.0542346065679425,0.07652918590160644,20,0
feedforward,,50,6,-0.004172729162655294,0.09760963390129604,20,0
feedforward,,50,7,-0.010397674930790652,0.04802074219466907,20,0
feedforward,,50,8,-0.005068124815497102,0.06703022616942146,20,0
feedforward,,50,9,-0.019492009123376283,0.05528932414811301,20,0
feedforward,,50,10,-0.012424407681257448,0.07770442528688007,20,0
feedforward,,50,11,-0.005161454265877061,0.06616132795621876,20,0
feedforward,,50,12,0.01528001171958023,0.0668669390756215,20,0
feedforward,,50,13,0.0036907640656192705,0.05119636780085015,20,0
feedforward,,50,14,-0.010020669838448857,0.06336147663925772,20,0
feedforward,,50,15,0.006595737745531951,0.06955455119939846,20,0
resnet,1.0,2,0,1.0,0.0,20,0
resnet,1.0,2,1,0.9591281493817163,0.029055845369292316,20,0
resnet,1.0,2,2,0.9204744472652457,0.0522990545553985,20,0
resnet,1.0,2,3,0.8816289776538406,0.07702716202327028,20,0
resnet,1.0,2,4,0.844327614717697,0.09989063503004807,20,0
