model_type,beta,depth,gradient_norm_mean,gradient_norm_std,gradient_std_mean,gradient_std_std,collapsed_runs,valid_runs
feedforward,,2,16.768764953592395,6.178682351828878,0.8540628442770679,0.32420491076596847,0,20
feedforward,,4,19.21492901754754,5.009696179873119,1.0230899857151519,0.26842840774483684,0,20
feedforward,,10,15.741018259651506,2.592467564273015,0.9721672838534594,0.16915033561409082,0,20
feedforward,,24,15.195357269397714,3.2256798286331576,0.9489612941785042,0.20170300189160772,0,20
feedforward,,50,12.864252526128434,2.9898771417324848,0.803239085017325,0.18691039426949335,0,20
resnet,1.0,2,32.895174389403444,8.124017696885351,1.6813977975755692,0.47193670662274767,0,20
resnet,1.0,4,46.5648327242763,13.520505190007677,2.705853594770484,0.7842631660899422,0,20
resnet,1.0,10,85.92193896368255,21.17908629029674,4.888930962766869,1.0490531235603084,0,20
resnet,1.0,24,147.88629631102373,35.78491173455481,8.89809214473203,2.2447097459531977,0,20
resnet,1.0,50,272.51351452210577,59.58665687630631,16.375997539096364,3.540043586002807,0,20
resnet,0.1,2,18.82241144924079,6.524559881313885,0.6842712361111823,0.2511216194595027,0,20
resnet,0.1,4,19.613200318243624,9.525588557124477,0.653550794347823,0.2651442216931172,0,20
resnet,0.1,10,16.529554899386785,6.2536532139290255,0.7312423256099877,0.27409520805857174,0,20
resnet,0.1,24,19.220510466886903,7.679883180537961,0.8517972883040507,0.256117668945361,0,20
resnet,0.1,50,27.945488415311594,11.070257680670855,1.1243499020294185,0.36893476330051966,0,20
white_noise,,,16.0,8.881784197001252e-16,1.0,7.850462293418876e-17,0,20
brown_noise,,,16.0,1.2560739669470201e-15,1.0,8.233634315563857e-17,0,20
