epoch,run_id,model,seed,layer_index,layer_name,grad_norm_l2,grad_norm_l1,grad_abs_mean,grad_abs_max,log10_grad_norm
1,smoke_test,PlainNet-20,0,0,stage1.0.conv2.weight,3.2507686614990234,125.03239440917969,0.054267533123493195,0.2756422758102417,0.5119860643565363
1,smoke_test,PlainNet-20,0,1,stage1.1.conv2.weight,2.34332275390625,89.61668395996094,0.03889612853527069,0.17608599364757538,0.3698321095903146
1,smoke_test,PlainNet-20,0,2,stage1.2.conv2.weight,1.6093677282333374,61.645233154296875,0.026755742728710175,0.1115007996559143,0.20665528840993083
1,smoke_test,PlainNet-20,0,3,stage2.0.conv2.weight,1.62832772731781,124.31570434570312,0.013489116914570332,0.07607803493738174,0.21174181814657433
1,smoke_test,PlainNet-20,0,4,stage2.1.conv2.weight,1.136427879333496,86.57826232910156,0.009394343011081219,0.05193376541137695,0.05554187947945531
1,smoke_test,PlainNet-20,0,5,stage2.2.conv2.weight,0.77232825756073,58.9379768371582,0.006395179778337479,0.0353485532104969,-0.11219807512067828
1,smoke_test,PlainNet-20,0,6,stage3.0.conv2.weight,0.7818356156349182,118.72940063476562,0.003220741171389818,0.017004746943712234,-0.10688454965992772
1,smoke_test,PlainNet-20,0,7,stage3.1.conv2.weight,0.5656590461730957,85.84455871582031,0.002328682690858841,0.014269139617681503,-0.2474452631270881
1,smoke_test,PlainNet-20,0,8,stage3.2.conv2.weight,0.42533618211746216,62.35254669189453,0.001691421028226614,0.013001917861402035,-0.3712676715394132
1,smoke_test,ResNet-20,0,0,stage1.0.conv2.weight,1.5911481380462646,60.74755859375,0.026366127654910088,0.12829287350177765,0.20171061493352763
1,smoke_test,ResNet-20,0,1,stage1.1.conv2.weight,1.0370014905929565,39.59992599487305,0.017187468707561493,0.0748845636844635,0.015779380647734178
1,smoke_test,ResNet-20,0,2,stage1.2.conv2.weight,0.7558732628822327,28.838058471679688,0.012516518123447895,0.05372805893421173,-0.12155101646252692
1,smoke_test,ResNet-20,0,3,stage2.0.conv2.weight,1.0208247900009155,77.91325378417969,0.008454129099845886,0.04313444718718529,0.00895120803687648
1,smoke_test,ResNet-20,0,4,stage2.1.conv2.weight,0.7831805348396301,59.488800048828125,0.006454947870224714,0.03195179998874664,-0.10613811502049036
1,smoke_test,ResNet-20,0,5,stage2.2.conv2.weight,0.5939643383026123,45.22331237792969,0.0049070436507463455,0.0279226116836071,-0.2262396293334332
1,smoke_test,ResNet-20,0,6,stage3.0.conv2.weight,0.7637891173362732,115.74797821044922,0.0031398648861795664,0.019399961456656456,-0.11702653385749168
1,smoke_test,ResNet-20,0,7,stage3.1.conv2.weight,0.5884662866592407,89.20415496826172,0.0024198174942284822,0.013386082835495472,-0.23027841291710313
1,smoke_test,ResNet-20,0,8,stage3.2.conv2.weight,0.4577884078025818,67.92845153808594,0.0018426771275699139,0.01357149239629507,-0.3393352088014461
1,smoke_test,PreActResNet-20,0,0,stage1.0.conv2.weight,0.29450350999832153,11.182634353637695,0.004853574093431234,0.023982595652341843,-0.5309095247673625
1,smoke_test,PreActResNet-20,0,1,stage1.1.conv2.weight,0.19358843564987183,7.435079574584961,0.0032270310912281275,0.01562531664967537,-0.7131205896052035
1,smoke_test,PreActResNet-20,0,2,stage1.2.conv2.weight,0.16502386331558228,6.348123073577881,0.0027552617248147726,0.014239754527807236,-0.7824532499839586
1,smoke_test,PreActResNet-20,0,3,stage2.0.conv2.weight,0.4367206394672394,33.133506774902344,0.0035952155012637377,0.020981593057513237,-0.3597962827858917
1,smoke_test,PreActResNet-20,0,4,stage2.1.conv2.weight,0.22623394429683685,17.276458740234375,0.0018746157875284553,0.011242151260375977,-0.6454422326764753
1,smoke_test,PreActResNet-20,0,5,stage2.2.conv2.weight,0.16472135484218597,12.52076530456543,0.0013585899723693728,0.006983225699514151,-0.7832500942767437
1,smoke_test,PreActResNet-20,0,6,stage3.0.conv2.weight,0.3805720806121826,57.36276626586914,0.0015560645842924714,0.010201864875853062,-0.41956307542993776
1,smoke_test,PreActResNet-20,0,7,stage3.1.conv2.weight,0.20756426453590393,31.05866050720215,0.0008425200940109789,0.005519304424524307,-0.6828474150352178
1,smoke_test,PreActResNet-20,0,8,stage3.2.conv2.weight,0.1524142026901245,22.514469146728516,0.0006107440567575395,0.004520207177847624,-0.816974561454518
