run,model,status,checkpoint_path,notes
identity_mapping,PlainNet-56,completed,results\identity_mapping\checkpoints\PlainNet-56.pt,
identity_mapping,ResNet-56,completed,results\identity_mapping\checkpoints\ResNet-56.pt,
identity_mapping,PreActResNet-56,completed,results\identity_mapping\checkpoints\PreActResNet-56.pt,
identity_mapping,ScaledShortcutResNet-56-lambda0.5,completed,results\identity_mapping\checkpoints\ScaledShortcutResNet-56-lambda0.5.pt,
identity_mapping,ScaledShortcutResNet-56-lambda0.9,completed,results\identity_mapping\checkpoints\ScaledShortcutResNet-56-lambda0.9.pt,
identity_mapping,ScaledShortcutResNet-56-lambda1.0,completed,results\identity_mapping\checkpoints\ScaledShortcutResNet-56-lambda1.0.pt,
identity_mapping,ScaledShortcutResNet-56-lambda1.1,completed,results\identity_mapping\checkpoints\ScaledShortcutResNet-56-lambda1.1.pt,
