model,depth,seed,mean_gradient_norm_mean,mean_gradient_norm_std
PlainNet,20,0,3.084788771343058e-10,1.1212147959911138e-11
Standard ResNet,20,0,0.0006534826523442475,4.9866714340823886e-05
PreAct ResNet,20,0,0.0006534582452582243,4.985845371402957e-05
ScaledShortcut lambda=1.0,20,0,0.0006534826505594638,4.986670702976379e-05
PlainNet,56,0,3.443411572614602e-24,1.3514380345995413e-25
Standard ResNet,56,0,0.0008463557117116089,5.7460894780281555e-05
PreAct ResNet,56,0,0.0008462382328757503,5.746011512895816e-05
ScaledShortcut lambda=1.0,56,0,0.000846355704409219,5.746088348117995e-05
