model,depth,seed,batch_size,num_minibatches,gradient_type,relative_effective_rank_mean,relative_effective_rank_std,mean_gradient_norm_mean,mean_gradient_norm_std,spatial_acf_lag1,spatial_acf_lag3,spatial_acf_lag5,correlation_matrix_structure_score
PlainNet,20,0,64,5,per_sample_input_gradient,0.0,0.0,3.084788771343058e-10,1.1212147959911138e-11,7.917672648201091e-07,5.817271275411019e-07,4.2160256008011067e-07,0.0034982393111565487
PlainNet,56,0,64,5,per_sample_input_gradient,0.0,0.0,3.443411572614602e-24,1.3514380345995413e-25,1.174636292247169e-34,8.98427831090775e-35,6.615571384816064e-35,2.537566492446027e-24
PreAct ResNet,20,0,64,5,per_sample_input_gradient,0.23451607115201406,0.03343606447827655,0.0006534582452582243,4.985845371402957e-05,0.2610838795803677,0.13442218827475458,0.12128731567046291,0.2088618834041694
PreAct ResNet,56,0,64,5,per_sample_input_gradient,0.19206665735237669,0.00456708956217968,0.0008462382328757503,5.746011512895816e-05,0.268102053592013,0.13872800863269114,0.10980746186020021,0.19041919454377973
ScaledShortcut lambda=1.0,20,0,64,5,per_sample_input_gradient,0.2345166297289411,0.03343320788360358,0.0006534826505594638,4.986670702976379e-05,0.2610830954814144,0.13442173819197628,0.12128880209546704,0.20886443861494014
ScaledShortcut lambda=1.0,56,0,64,5,per_sample_input_gradient,0.19206402003423204,0.004565404101141588,0.000846355704409219,5.746088348117995e-05,0.268106655635997,0.1387321885760016,0.10980792958645495,0.1904228896728897
Standard ResNet,20,0,64,5,per_sample_input_gradient,0.23451662883328167,0.03343321020352226,0.0006534826523442475,4.9866714340823886e-05,0.2610830926355346,0.13442173613826383,0.12128879725527117,0.2088644397578483
Standard ResNet,56,0,64,5,per_sample_input_gradient,0.1920640145765618,0.004565402369086092,0.0008463557117116089,5.7460894780281555e-05,0.2681066561693863,0.13873219196376171,0.10980793204404884,0.19042289132339746
