drop_strategy,drop_ratio,mean_test_accuracy,std_test_accuracy,mean_accuracy_drop,mean_test_loss,mean_active_blocks,runs
early_drop,0.0,0.1111111111111111,0.0,0.0,2.302787939707438,27.0,1
early_drop,0.1,0.1111111111111111,0.0,0.0,2.302787939707438,24.0,1
early_drop,0.3,0.1111111111111111,0.0,0.0,2.302787939707438,19.0,1
early_drop,0.5,0.1111111111111111,0.0,0.0,2.302787939707438,13.0,1
early_drop,0.7,0.1111111111111111,0.0,0.0,2.302787939707438,8.0,1
late_drop,0.0,0.1111111111111111,0.0,0.0,2.302787939707438,27.0,1
late_drop,0.1,0.1111111111111111,0.0,0.0,2.3027408123016357,24.0,1
late_drop,0.3,0.1111111111111111,0.0,0.0,2.3027408123016357,19.0,1
late_drop,0.5,0.1111111111111111,0.0,0.0,2.3027408123016357,13.0,1
late_drop,0.7,0.1111111111111111,0.0,0.0,2.3027408123016357,8.0,1
random_drop,0.0,0.1111111111111111,0.0,0.0,2.302787939707438,27.0,3
random_drop,0.1,0.1111111111111111,0.0,0.0,2.3027876218159995,24.0,3
random_drop,0.3,0.1111111111111111,0.0,0.0,2.302771780225966,19.0,3
random_drop,0.5,0.1111111111111111,0.0,0.0,2.3027563624911838,13.0,3
random_drop,0.7,0.1111111111111111,0.0,0.0,2.30275649494595,8.0,3
